iter	Passed	Remaining
0	7	7473
1	14	7148
2	21	6995
3	27	6963
4	35	6965
5	42	7074
6	50	7140
7	57	7190
8	65	7257
9	75	7447
10	83	7535
11	93	7675
12	102	7766
13	111	7856
14	120	7925
15	129	7981
16	139	8044
17	149	8135
18	158	8184
19	167	8200
20	177	8258
21	186	8309
22	196	8340
23	206	8381
24	216	8432
25	226	8471
26	235	8494
27	246	8554
28	256	8585
29	266	8618
30	276	8654
31	286	8670
32	295	8669
33	306	8700
34	316	8721
35	326	8743
36	336	8770
37	347	8795
38	357	8803
39	367	8810
40	378	8841
41	388	8862
42	399	8891
43	410	8910
44	420	8922
45	430	8930
46	441	8944
47	451	8961
48	462	8971
49	472	8978
50	482	8985
51	492	8986
52	502	8986
53	512	8980
54	522	8975
55	531	8960
56	541	8953
57	550	8944
58	560	8935
59	570	8940
60	580	8943
61	590	8938
62	600	8935
63	611	8942
64	621	8940
65	631	8935
66	640	8924
67	650	8919
68	659	8904
69	669	8898
70	680	8904
71	690	8900
72	701	8906
73	712	8914
74	722	8911
75	733	8915
76	743	8914
77	755	8935
78	767	8945
79	778	8949
80	788	8951
81	799	8949
82	809	8947
83	820	8945
84	831	8949
85	844	8976
86	857	8997
87	870	9020
88	882	9030
89	894	9043
90	906	9051
91	917	9053
92	928	9051
93	939	9057
94	951	9061
95	961	9057
96	973	9066
97	985	9067
98	1011	9208
99	1022	9199
100	1032	9188
101	1043	9188
102	1053	9178
103	1064	9167
104	1074	9155
105	1085	9153
106	1096	9150
107	1107	9147
108	1117	9136
109	1127	9124
110	1138	9116
111	1147	9101
112	1157	9089
113	1167	9077
114	1177	9059
115	1186	9040
116	1196	9026
117	1205	9011
118	1215	8996
119	1224	8979
120	1234	8968
121	1244	8958
122	1254	8944
123	1264	8933
124	1274	8919
125	1283	8901
126	1293	8891
127	1304	8884
128	1314	8872
129	1324	8863
130	1335	8861
131	1346	8852
132	1356	8840
133	1366	8830
134	1376	8819
135	1386	8810
136	1397	8802
137	1407	8791
138	1417	8780
139	1428	8774
140	1438	8763
141	1448	8751
142	1458	8741
143	1469	8732
144	1478	8720
145	1488	8709
146	1500	8705
147	1510	8696
148	1520	8685
149	1531	8676
150	1541	8667
151	1551	8656
152	1562	8650
153	1572	8638
154	1582	8625
155	1592	8616
156	1602	8604
157	1612	8592
158	1622	8584
159	1633	8576
160	1644	8567
161	1654	8559
162	1666	8555
163	1676	8547
164	1687	8537
165	1697	8530
166	1708	8521
167	1719	8517
168	1730	8506
169	1739	8494
170	1749	8482
171	1760	8472
172	1770	8462
173	1780	8451
174	1790	8439
175	1800	8428
176	1810	8416
177	1820	8407
178	1831	8400
179	1842	8392
180	1853	8388
181	1865	8382
182	1876	8376
183	1889	8378
184	1901	8378
185	1914	8376
186	1926	8376
187	1938	8372
188	1952	8379
189	1969	8397
190	1987	8417
191	2002	8428
192	2018	8439
193	2033	8446
194	2049	8458
195	2062	8458
196	2075	8459
197	2088	8458
198	2100	8453
199	2112	8450
200	2123	8441
201	2133	8429
202	2144	8421
203	2155	8409
204	2165	8398
205	2176	8390
206	2187	8381
207	2197	8368
208	2207	8353
209	2216	8339
210	2226	8327
211	2236	8313
212	2246	8301
213	2256	8286
214	2265	8271
215	2275	8258
216	2285	8247
217	2295	8234
218	2305	8220
219	2316	8213
220	2327	8204
221	2338	8193
222	2349	8185
223	2359	8173
224	2369	8162
225	2380	8153
226	2391	8142
227	2401	8132
228	2412	8123
229	2424	8115
230	2434	8104
231	2444	8091
232	2454	8078
233	2463	8065
234	2473	8052
235	2483	8038
236	2492	8025
237	2502	8013
238	2513	8001
239	2522	7988
240	2532	7975
241	2542	7964
242	2552	7951
243	2562	7939
244	2571	7925
245	2581	7911
246	2590	7898
247	2600	7885
248	2610	7872
249	2620	7860
250	2630	7848
251	2641	7839
252	2652	7831
253	2663	7821
