iter	Passed	Remaining
0	138	27554
1	144	14271
2	149	9823
3	155	7629
4	161	6298
5	167	5414
6	173	4781
7	178	4295
8	185	3927
9	191	3640
10	197	3392
11	203	3182
12	208	3003
13	214	2845
14	219	2708
15	225	2590
16	230	2481
17	236	2388
18	242	2307
19	248	2232
20	254	2172
21	261	2113
22	267	2061
23	274	2014
24	281	1970
25	288	1930
26	295	1895
27	303	1863
28	310	1833
29	318	1806
30	326	1781
31	334	1757
32	342	1733
33	350	1710
34	358	1689
35	366	1668
36	374	1651
37	383	1632
38	391	1617
39	400	1601
40	409	1586
41	418	1573
42	426	1557
43	435	1543
44	444	1530
45	453	1516
46	461	1502
47	469	1488
48	478	1474
49	487	1462
50	495	1448
51	504	1435
52	512	1421
53	521	1409
54	529	1395
55	537	1382
56	546	1371
57	557	1364
58	567	1356
59	577	1347
60	588	1339
61	597	1330
62	606	1319
63	616	1310
64	626	1300
65	636	1291
66	645	1282
67	656	1274
68	667	1267
69	678	1260
70	688	1250
71	697	1240
72	706	1229
73	717	1221
74	726	1211
75	735	1200
76	745	1190
77	755	1181
78	764	1170
79	772	1159
80	782	1148
81	791	1138
82	799	1127
83	808	1116
84	817	1106
85	826	1095
86	834	1084
87	843	1073
88	853	1063
89	861	1052
90	870	1042
91	879	1031
92	887	1021
93	895	1009
94	903	999
95	912	988
96	920	977
97	929	967
98	937	956
99	946	946
100	954	935
101	963	925
102	971	915
103	980	905
104	989	894
105	997	884
106	1005	874
107	1014	864
108	1023	854
109	1032	844
110	1040	834
111	1049	824
112	1057	814
113	1066	804
114	1076	795
115	1085	786
116	1095	777
117	1104	767
118	1114	758
119	1123	748
120	1132	739
121	1141	730
122	1151	720
123	1159	710
124	1167	700
125	1176	690
126	1184	681
127	1193	671
128	1202	661
129	1210	651
130	1219	642
131	1228	632
132	1237	623
133	1246	614
134	1254	604
135	1263	594
136	1271	584
137	1280	575
138	1290	566
139	1298	556
140	1308	547
141	1319	538
142	1329	529
143	1339	520
144	1348	511
145	1358	502
146	1368	493
147	1378	484
148	1386	474
149	1395	465
150	1405	456
151	1414	446
152	1424	437
153	1433	428
154	1443	418
155	1451	409
156	1460	399
157	1468	390
158	1477	381
159	1485	371
160	1494	362
161	1503	352
162	1512	343
163	1521	333
164	1530	324
165	1538	315
166	1545	305
167	1553	295
168	1561	286
169	1570	277
170	1578	267
171	1586	258
172	1595	248
173	1603	239
174	1611	230
175	1619	220
176	1628	211
177	1637	202
178	1646	193
179	1653	183
180	1662	174
181	1670	165
182	1677	155
183	1685	146
184	1693	137
185	1701	128
186	1709	118
187	1717	109
188	1724	100
189	1733	91
190	1741	82
191	1750	72
192	1759	63
193	1767	54
194	1776	45
195	1785	36
196	1793	27
197	1801	18
198	1810	9
199	1819	0
